coral_number,site,habitat,transect,taxa,x,y,z,length_2013,width_2013,height_2013,observer_2013,note_2013,note_extra_2013,fusion_group_2013,fission_group_2013,growth_ratio_2013,dynamics_2013,length_2014,width_2014,height_2014,observer_2014,note_2014,note_extra_2014,fusion_group_2014,fission_group_2014,growth_ratio_2014,dynamics_2014,length_2015,width_2015,height_2015,observer_2015,note_2015,note_extra_2015,fusion_group_2015,fission_group_2015,growth_ratio_2015,dynamics_2015,length_2016,width_2016,height_2016,observer_2016,note_2016,note_extra_2016,fusion_group_2016,fission_group_2016,growth_ratio_2016,dynamics_2016,length_2017,width_2017,height_2017,observer_2017,note_2017,note_extra_2017,fusion_group_2017,fission_group_2017,growth_ratio_2017,dynamics_2017,length_2018,width_2018,height_2018,observer_2018,note_2018,note_extra_2018,fusion_group_2018,fission_group_2018,growth_ratio_2018,dynamics_2018,length_2019,width_2019,height_2019,observer_2019,note_2019,note_extra_2019,fusion_group_2019,fission_group_2019,growth_ratio_2019,dynamics_2019,length_2020,width_2020,height_2020,observer_2020,note_2020,note_extra_2020,fusion_group_2020,fission_group_2020,growth_ratio_2020,dynamics_2020,length_2021,width_2021,height_2021,observer_2021,note_2021,note_extra_2021,fusion_group_2021,fission_group_2021,growth_ratio_2021,dynamics_2021,length_2022,width_2022,height_2022,observer_2022,note_2022,note_extra_2022,fusion_group_2022,fission_group_2022,growth_ratio_2022,dynamics_2022,length_2023,width_2023,height_2023,observer_2023,note_2023,note_extra_2023,fusion_group_2023,fission_group_2023,growth_ratio_2023,dynamics_2023
3175,LTER2,OR,T1,Poc,0.4,23,16,5.5,1.2,6.4,MK,NA,NA,NA,NA,NA,NA,8.1,7.8,7.1,EW,NA,NA,NA,NA,1.75572519083969,Growth,9.7,8.7,9.6,CA,NA,NA,NA,NA,1.21739130434783,Growth,6.9,4.8,6.7,MK,NA,NA,NA,NA,0.657142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,7,4.1,HSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3176,LTER2,OR,T1,Poc,0.4,37,5,6.5,4.8,5.6,MK,NA,NA,NA,NA,NA,NA,9.8,8.8,7,EW,NA,NA,NA,NA,1.51479289940828,Growth,NA,NA,NA,CA,D,NA,NA,NA,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3177,LTER2,OR,T1,Acr,0.4,55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,HSL,NA,R,NA,NA,NA,Recruitment,4.5,3.7,1,HSL,NA,NA,NA,NA,0.766666666666667,NA,4.8,4.5,3.5,NA,NA,NA,NA,NA,1.39130434782609,Growth,NA,NA,NA,HSL,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3178,LTER2,OR,T1,Acr,0.4,70,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.3,2.5,MK,"R, Ret",NA,NA,NA,NA,Recruitment,4.3,4.9,3.9,MK,NA,NA,NA,NA,1.40860215053763,Growth,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
3179,LTER2,OR,T1,Por,0.4,73,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,NA,NA,NA,NA,NA,NA,2.8,1.3,1.6,MK,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,D,D; OG montipora,NA,NA,NA,Death,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3180,LTER2,OR,T1,Poc,0.4,85,0,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,15,12.5,HSL,NA,NA,NA,NA,NA,NA,24.1,15.8,15.5,HSL,NA,NA,NA,NA,1.23111111111111,Growth,25.5,18.8,18,NA,NA,NA,NA,NA,1.12454873646209,Growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
3181,LTER2,OR,T1,Poc,0.42,60,4,5.2,1.6,4.2,HA,Bi,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3182,LTER2,OR,T1,Por,0.44,94,2.7,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,6.4,3.5,0.9,CA,FI1,NA,NA,1,NA,Fission1,2.8,2,0.5,MK,Montipora,NA,NA,NA,0.490740740740741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,D,D; OG montipora,NA,NA,NA,Death,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3183,LTER2,OR,T1,Por,0.45,50,2,3.9,1.7,2.6,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3184,LTER2,OR,T1,Poc,0.45,57,5,2.2,2.7,1.6,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3185,LTER2,OR,T1,Poc,0.46,11,7,4.7,3.1,4.3,MK,Bi,NA,NA,NA,NA,NA,8.2,8.9,5.4,EW,NA,NA,NA,NA,1.8595041322314,Growth,NA,NA,NA,CA,D,NA,NA,NA,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3186,LTER2,OR,T1,Poc,0.46,48,0,1.9,0.6,1,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3187,LTER2,OR,T1,Poc,0.47,47,1,1,3.7,0.7,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3188,LTER2,OR,T1,Poc,0.48,58,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.9,0.5,EW,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,CA,D,NA,NA,NA,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3189,LTER2,OR,T1,Poc,0.5,98,2.6,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,4.3,4.1,4.8,EW,Lo,NA,NA,NA,NA,NA,NA,NA,NA,CA,D,NA,NA,NA,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3190,LTER2,OR,T1,Por,0.54,94,2,4.3,1.6,2.7,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3191,LTER2,OR,T1,Mil,0.55,22,16,29.6,1.7,15,MK,NA,NA,NA,NA,NA,NA,34.9,30.8,17,EW,NA,NA,NA,NA,1.78617710583153,Growth,63.5,37.1,37.6,CA,Fu3,NA,3,NA,1.67110036275695,"Growth, Fusion3",35.8,32.9,14.9,MK,Fi1,NA,NA,1,0.604920405209841,Fission1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.2,51.6,37,MK,NA,NA,NA,NA,NA,NA
3192,LTER2,OR,T1,Poc,0.55,63,1,2,3.1,2.2,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3193,LTER2,OR,T1,Acr,0.58,1,18,4.2,1.5,2.9,MK,NA,NA,NA,NA,NA,NA,6.4,4.5,3.8,EW,NA,NA,NA,NA,1.7093023255814,Growth,6.2,2.9,5.3,CA,NA,NA,NA,NA,0.979591836734694,NA,11,6,7.2,MK,NA,NA,NA,NA,1.68055555555556,Growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,8.7,9.9,HSL,NA,NA,NA,NA,NA,NA,12,9.2,9.9,HSL,NA,NA,NA,NA,1.01967213114754,Growth,NA,NA,NA,NA,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3194,LTER2,OR,T1,Poc,0.58,99,4,2.7,2.1,2.1,MK,NA,NA,NA,NA,NA,NA,2.9,2.1,2.1,EW,Fr,NA,NA,NA,1.02898550724638,Growth,NA,NA,NA,CA,D,NA,NA,NA,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3195,LTER2,OR,T1,Poc,0.6,33,3,2.6,1.2,1.8,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,EW,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3196,LTER2,OR,T1,Acr,0.6,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.5,0.5,HSL,NA,R,NA,NA,NA,Recruitment,NA,NA,NA,HSL,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3197,LTER2,OR,T1,Poc,0.61,29,3,1.8,5.5,1.6,MK,NA,NA,NA,NA,NA,NA,2.1,3.7,1.9,EW,NA,NA,NA,NA,0.865168539325843,NA,3.7,2.7,4.4,CA,NA,NA,NA,NA,1.4025974025974,Growth,5.5,4.6,4.8,MK,NA,NA,NA,NA,1.37962962962963,Growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5,16.5,16,HSL,NA,Fu2,2,NA,NA,Fusion2,27.5,19,17.5,HSL,NA,NA,NA,NA,1.06666666666667,Growth,2.5,3,2,NA,NA,litte alive,NA,NA,0.1171875,NA,NA,NA,NA,HSL,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3198,LTER2,OR,T1,Poc,0.62,36,5,7.7,1.6,6.5,MK,NA,NA,NA,NA,NA,NA,11.6,8.8,2.3,EW,NA,NA,NA,NA,1.43670886075949,Growth,17.3,11.6,13.4,CA,NA,NA,NA,NA,1.86343612334802,Growth,20.9,14,12.8,MK,NA,NA,NA,NA,1.12765957446809,Growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,NA,Fu2,2,NA,NA,Fusion2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3199,LTER2,OR,T1,Por,0.62,88,4.9,6.3,3.7,3.6,MK,NA,NA,NA,NA,NA,NA,7.5,5,5,EW,NA,NA,NA,NA,1.28676470588235,Growth,9.2,6.3,9.3,CA,NA,NA,NA,NA,1.41714285714286,Growth,11.3,10,9.4,MK,NA,NA,NA,NA,1.23790322580645,Growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3,14,12.5,HSL,NA,NA,NA,NA,NA,NA,17.1,14.8,19.3,HSL,NA,NA,NA,NA,1.25490196078431,Growth,NA,NA,NA,NA,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3200,LTER2,OR,T1,Mil,0.65,35,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,44.5,19,HSL,NA,NA,NA,NA,NA,NA,60,39.8,26.4,MK,NA,NA,NA,NA,1.03868312757202,Growth,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA
3201,LTER2,OR,T1,Poc,0.65,100,9,2,1.5,1.7,MK,NA,NA,NA,NA,NA,NA,8.6,5.6,5.3,EW,NA,NA,NA,NA,3.75,Growth,9.6,10.4,6.7,CA,Ed,NA,NA,NA,1.36923076923077,"Growth, Edge",11.1,9.8,7.8,MK,NA,NA,NA,NA,1.0749063670412,Growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11,9.5,HSL,NA,NA,NA,NA,NA,NA,12.7,13.1,9.9,HSL,NA,NA,NA,NA,1.09846153846154,Growth,NA,NA,NA,NA,NA,Fu1,1,NA,NA,Fusion1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3202,LTER2,OR,T1,Por,0.65,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,7,HSL,NA,under POC,NA,NA,NA,NA,11.2,7.9,9,HSL,NA,NA,NA,NA,1.22173913043478,Growth,19.5,15.5,11,NA,NA,Fu1,1,NA,1.63701067615658,"Growth, Fusion1",19.5,17.3,11.5,HSL,NA,NA,NA,NA,1.05,Growth,19.7,12.2,9.7,MK,NA,NA,NA,NA,0.86128364389234,NA,17.8,9.5,11.3,MK,NA,NA,NA,NA,0.927884615384616,NA
3203,LTER2,OR,T1,Poc,0.71,21,10,2.4,27.1,2,MK,NA,NA,NA,NA,NA,NA,1.2,1.8,1,EW,NA,NA,NA,NA,0.126984126984127,NA,2.2,1.3,2.1,CA,NA,NA,NA,NA,1.4,Growth,5.6,3.8,4.3,MK,NA,NA,NA,NA,2.44642857142857,Growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,4.5,8.8,HSL,NA,NA,NA,NA,NA,NA,9.5,4.8,9.3,HSL,NA,NA,NA,NA,1.14563106796116,Growth,12,7,9.5,NA,NA,NA,NA,NA,1.20762711864407,Growth,12.5,7.5,10.5,HSL,NA,NA,NA,NA,1.07017543859649,Growth,14.1,7.4,9.4,MK,NA,NA,NA,NA,1.01311475409836,Growth,15.3,8.4,7.8,NA,P.verucossa,NA,NA,NA,1.01941747572816,Growth
3204,LTER2,OR,T1,Poc,0.71,77,6,6.1,6.8,5,MK,Bi,NA,NA,NA,NA,NA,9,9,5.6,EW,NA,NA,NA,NA,1.31843575418994,Growth,13.5,10.4,9.6,CA,NA,NA,NA,NA,1.41949152542373,Growth,16.9,17.9,10.3,MK,NA,NA,NA,NA,1.34626865671642,Growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,17.5,16,HSL,NA,NA,NA,NA,NA,NA,24.2,19.7,18.3,HSL,NA,NA,NA,NA,0.987301587301587,NA,20,21,19.5,NA,NA,NA,NA,NA,0.972668810289389,NA,18,17.5,19.5,HSL,50% dead,NA,NA,NA,0.909090909090909,NA,NA,NA,NA,MK,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3205,LTER2,OR,T1,Poc,0.72,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,4,3,2.2,HSL,NA,NA,NA,NA,NA,NA,1.5,2,2,NA,NA,NA,NA,NA,0.597826086956522,NA,NA,NA,NA,HSL,D,NA,NA,NA,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3206,LTER2,OR,T1,Poc,0.73,2,4,9.9,1.5,8.3,MK,Bi,NA,NA,NA,NA,NA,12.3,13,8.8,EW,NA,NA,NA,NA,1.73096446700508,Growth,NA,NA,NA,CA,D,NA,NA,NA,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3207,LTER2,OR,T1,Poc,0.75,1,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,2.6,1.9,EW,R,NA,NA,NA,NA,Recruitment,NA,NA,NA,CA,D,NA,NA,NA,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3208,LTER2,OR,T1,Poc,0.75,26,7,2.4,1.8,1.9,MK,NA,NA,NA,NA,NA,NA,4.7,2.9,3.9,EW,NA,NA,NA,NA,1.88524590163934,Growth,6.5,5.6,5.9,CA,NA,NA,NA,NA,1.56521739130435,Growth,20.8,14.8,12.9,MK,NA,NA,NA,NA,2.69444444444444,Growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,7,8,HSL,NA,millipora,NA,NA,NA,NA,12,9,9,HSL,D,NA,NA,NA,1.13207547169811,"Death, Growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3209,LTER2,OR,T1,Mil,0.76,25,11,30.3,8,27.8,MK,NA,NA,NA,NA,NA,NA,38.4,17,18.1,EW,NA,NA,NA,NA,1.11195158850227,Growth,NA,NA,NA,CA,Fu3,NA,3,NA,NA,Fusion3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
