coral_number,site,habitat,transect,taxa,x,y,z,length_2013,width_2013,height_2013,observer_2013,note_2013,note_extra_2013,dynamics_2013,length_2014,width_2014,height_2014,observer_2014,note_2014,note_extra_2014,dynamics_2014,length_2015,width_2015,height_2015,observer_2015,note_2015,note_extra_2015,dynamics_2015,length_2016,width_2016,height_2016,observer_2016,note_2016,note_extra_2016,dynamics_2016,length_2017,width_2017,height_2017,observer_2017,note_2017,note_extra_2017,dynamics_2017,length_2018,width_2018,height_2018,observer_2018,note_2018,note_extra_2018,dynamics_2018,length_2019,width_2019,height_2019,observer_2019,note_2019,note_extra_2019,dynamics_2019,length_2020,width_2020,height_2020,observer_2020,note_2020,note_extra_2020,dynamics_2020,length_2021,width_2021,height_2021,observer_2021,note_2021,note_extra_2021,dynamics_2021
3727,LTER4,BR,P3,Poc,5.6,40,50,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,3,2,1,HSL,R,NA,Recruitment,NA,NA,NA,HSL,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3728,LTER4,BR,P3,Poc,5.7,50,30,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,4,3,1,HSL,R,NA,Recruitment,NA,NA,NA,HSL,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3729,LTER4,BR,P3,Por,6,70,45,57,39,56,HA,NA,NA,NA,65.4,72,53,EW,NA,NA,NA,69,75,49,HSL,NA,NA,NA,70.5,71,52.5,HSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,75,55,AP,NA,NA,NA,76.5,77.5,60,JG,NA,NA,NA,64,70,58,NA,NA,NA,NA,78.4,64,59,MK,NA,NA,NA
3730,LTER4,BR,P3,Acr,6.5,32,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,8,7.6,AP,NA,NA,NA,11,12,12,JG,D,NA,Death,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
3731,LTER4,BR,P3,Acr,6.9,35,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,3,NA,NA,NA,NA,7.8,4.5,7.7,MK,NA,NA,NA
3732,LTER4,BR,P3,Poc,7,30,50,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,3,3,1,HSL,R,NA,Recruitment,NA,NA,NA,HSL,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3733,LTER4,BR,P3,Poc,7.5,35,50,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,3,3,1,HSL,R,NA,Recruitment,NA,NA,NA,HSL,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3734,LTER4,BR,P3,Poc,9.5,35,55,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,3,3,1,HSL,R,NA,Recruitment,NA,NA,NA,HSL,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3735,LTER4,BR,P3,Por,3.1,75,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3,13,23.5,MK,M,NA,NA
3736,LTER4,BR,P3,Poc,3.75,72,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.1,1.7,MK,R,NA,Recruitment
3737,LTER4,BR,P3,Poc,4.75,30,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.5,22.8,16.7,MK,M,NA,NA
3738,LTER4,BR,P3,Poc,4.7,25,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,8.7,7.8,MK,M,NA,NA
3739,LTER4,BR,P3,Poc,4.75,16,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,12.5,10.2,MK,M,NA,NA
3740,LTER4,BR,P3,Poc,4.95,55,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,17.2,20.4,MK,M,NA,NA
3741,LTER4,BR,P4,Por,0.7,58,60,90,47,57,HA,NA,NA,NA,93,67,58,EW,NA,NA,NA,114,59,69,CA,NA,NA,NA,NA,NA,NA,HSL,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3742,LTER4,BR,P4,Por,0.75,42,46,NA,NA,NA,HA,NA,NA,NA,34.8,17,12.9,EW,NA,NA,NA,38,29.5,43,CA,NA,NA,NA,NA,NA,NA,HSL,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3743,LTER4,BR,P4,Acr,1.7,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,2,JG,NA,NA,NA,NA,NA,NA,NA,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
3744,LTER4,BR,P4,Por,2.85,80,0,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,CA,NA,NA,NA,25,22.2,15.2,HSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,D,D,Death,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3745,LTER4,BR,P4,Por,5.5,31,30,9,8,8,HA,NA,NA,NA,33,22,28,EW,NA,NA,NA,NA,NA,NA,CA,D,NA,Death,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3746,LTER4,BR,P4,Por,6,50,10,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,40.5,31,36,CA,NA,NA,NA,44,38.8,35.2,HSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,36.5,31,AP,NA,NA,NA,50.5,30,32,JG,NA,NA,NA,55,38.5,31,NA,NA,NA,NA,57,41,38.3,HSL,NA,NA,NA
3747,LTER4,BR,P4,Acr,6.1,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.5,2.5,NA,NA,NA,NA,5.5,4.5,4.8,HSL,NA,NA,NA
3748,LTER4,BR,P4,Acr,6.4,40,30,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,NA,NA,NA,CA,NA,NA,NA,12,8.5,5.8,HSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,D,D,Death,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3749,LTER4,BR,P4,Acr,10,55,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,8,AP,NA,NA,NA,NA,NA,NA,JG,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3750,LTER4,BR,P4,Por,0.2,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,18,56,HSL,NA,NA,NA
3751,LTER4,BR,P4,Por,0.1,100,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,21.5,32,HSL,NA,NA,NA
3752,LTER4,BR,P4,Por,2.1,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,21.5,21.5,HSL,NA,NA,NA
3753,LTER4,BR,P4,Por,9.9,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.2,23,6.5,HSL,NA,NA,NA
3754,LTER4,BR,P4,Por,3.3,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,25.3,39.3,HSL,NA,NA,NA
3755,LTER4,BR,P4,Acr,10,90,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,6,HSL,R,NA,Recruitment
3756,LTER4,BR,P5,Por,0,50,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,95,60,AP,NA,NA,NA,110,96,64,JG,D,NA,Death,90,60,57,EW,NA,NA,NA,188,86,57.5,HSL,NA,NA,NA
3757,LTER4,BR,P5,Por,1.5,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,24,15,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3758,LTER4,BR,P5,Por,3.8,49,60,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,44,19.5,35,CA,NA,NA,NA,35.4,21.6,34,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,D,D,Death,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3759,LTER4,BR,P5,Acr,3.8,81,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,AP,NA,NA,NA,11,6,8,JG,D,NA,Death,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
3760,LTER4,BR,P5,Acr,4.3,100,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1.5,EW,NA,NA,NA,8.5,8,6.3,HSL,NA,NA,NA
3761,LTER4,BR,P5,Acr,3.81,81,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2,1,AP,NA,R,Recruitment,5,5,3,JG,D,NA,Death,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
3762,LTER4,BR,P5,Acr,3.81,80,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,2.2,AP,NA,R,Recruitment,5.2,5,6,JG,D,NA,Death,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
3763,LTER4,BR,P5,Acr,4.3,58,66,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,6,3.5,4.5,CA,Fi1,NA,Fission1,3.1,3.7,4.4,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7.5,8.5,AP,NA,NA,NA,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3764,LTER4,BR,P5,Acr,4.3,73,65,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,4,4,3,CA,R,NA,Recruitment,9.1,5.8,0.7,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10.5,9,AP,NA,NA,NA,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3765,LTER4,BR,P5,Acr,4.3,60,70,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,4,4.5,4.5,CA,Fi1,NA,Fission1,7.6,5.1,7.1,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11.5,10,AP,NA,NA,NA,15,14,13,JG,NA,NA,NA,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
3766,LTER4,BR,P5,Acr,4.3,64,67,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,2.5,3,5,CA,Fi1,NA,Fission1,9.1,5.8,5.7,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,9,13,AP,NA,NA,NA,16,9.9,14,JG,NA,NA,NA,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
3767,LTER4,BR,P5,Acr,4.34,59,62,5,2,2,HA,NA,NA,NA,NA,NA,NA,EW,Fu1,NA,Fusion1,NA,NA,NA,CA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3768,LTER4,BR,P5,Acr,4.39,57,65,4,3.5,4,HA,NA,NA,NA,16,12,1.2,EW,Fu1,NA,Fusion1,10,6,10,CA,Fi1,NA,Fission1,5.9,3.8,5,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,10,AP,NA,NA,NA,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3769,LTER4,BR,P5,Acr,4.43,64,60,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,3,2.5,5,CA,R,NA,Recruitment,6.5,3.9,5.5,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,10,10.5,AP,NA,NA,NA,15,12.2,12.3,JG,NA,NA,NA,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
3770,LTER4,BR,P5,Acr,4.44,43,55,9,4,3.5,HA,NA,NA,NA,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,CA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3771,LTER4,BR,P5,Acr,4.5,18,45,NA,NA,NA,HA,NA,NA,NA,3.2,3.8,2,EW,R,NA,Recruitment,NA,NA,NA,CA,D,NA,Death,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3772,LTER4,BR,P5,Acr,4.6,77,53,NA,NA,NA,HA,NA,NA,NA,4.3,4.1,2,EW,NA,NA,NA,7.5,5,6,CA,NA,NA,NA,8.2,7,5.9,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,D,D,Death,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3773,LTER4,BR,P5,Acr,4.63,25,40,NA,NA,NA,HA,NA,NA,NA,6.7,3.8,5.2,EW,NA,NA,NA,5.3,4.8,4,CA,NA,NA,NA,6.3,3.5,3.9,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4,1,AP,NA,NA,NA,9.6,9,3,JG,D,NA,Death,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
3774,LTER4,BR,P5,Por,4.9,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,28,40,EW,NA,NA,NA,57,34,52.5,HSL,NA,NA,NA
3775,LTER4,BR,P5,Acr,4.97,35,40,NA,NA,NA,HA,NA,NA,NA,6.6,4.3,7.5,EW,NA,NA,NA,16,17,14,CA,NA,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3776,LTER4,BR,P5,Acr,5.05,16,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8.5,3.5,AP,NA,NA,NA,11.7,9.2,6.5,JG,D,NA,Death,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
3777,LTER4,BR,P5,Acr,6.49,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,5,EW,NA,NA,NA,11.1,7.5,8.5,HSL,NA,NA,NA
3778,LTER4,BR,P5,Por,6.2,50,10,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,35,22,22,CA,NA,NA,NA,29.8,20,19.5,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,42,33,AP,NA,NA,NA,30.5,54,34,JG,NA,NA,NA,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
3779,LTER4,BR,P5,Acr,8.7,100,95,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,10,13,10,CA,Ed,NA,NA,10.6,9.7,10.7,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,10,8,AP,NA,NA,NA,18,16,12,JG,NA,NA,NA,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
3780,LTER4,BR,P5,Acr,9.1,95,100,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,18,23,11,CA,Ed,NA,NA,NA,NA,NA,MK,D,NA,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3781,LTER4,BR,P5,Por,4.7,25,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,28,76,HSL,NA,NA,NA
3782,LTER4,BR,P6,Por,1.6,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,29,19.5,JG,NA,NA,NA,36,17,26,EW,NA,NA,NA,37,17.5,31.5,HSL,NA,NA,NA
3783,LTER4,BR,P6,Acr,1.9,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,6,5,EW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3784,LTER4,BR,P6,Por,2.3,37,10,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,25.6,19.5,24,CA,NA,NA,NA,30,21,25,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,17,10,HSL,NA,NA,NA,NA,NA,NA,JG,D,Gone,Death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3785,LTER4,BR,P6,Acr,2.45,40,30,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,2.9,5,3.1,CA,R,NA,Recruitment,2.5,2.2,1.5,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,NA,D,Death,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3786,LTER4,BR,P6,Por,2.9,59,5,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,26,27,28,CA,NA,NA,NA,28.5,22,26.1,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7,31,28.5,HSL,NA,NA,NA,32.5,31.5,29.7,JG,NA,NA,NA,36,33,37,EW,NA,NA,NA,37.5,36,39,NA,NA,NA,NA
3787,LTER4,BR,P6,Acr,4,70,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6.5,3.5,HSL,NA,NA,NA,10,8,4,JG,D,NA,Death,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,NA,NA,NA,NA
3788,LTER4,BR,P6,Acr,4.3,45,50,NA,NA,NA,HA,NA,NA,NA,NA,NA,NA,EW,NA,NA,NA,4,3.6,4,CA,NA,NA,NA,5.8,4.2,4.4,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,26,11,HSL,NA,NA,NA,9.6,9,3,JG,NA,NA,NA,7.5,8,8,EW,NA,NA,NA,NA,NA,NA,HSL,D,NA,Death
3789,LTER4,BR,P6,Acr,4.35,1,88,19.2,12.3,14.2,MK,NA,NA,NA,NA,NA,NA,EW,D,NA,Death,NA,NA,NA,CA,NA,NA,NA,NA,NA,NA,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSL,NA,NA,NA,NA,NA,NA,JG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
